ds,yhat,yhat_lower,yhat_upper
2017-12-31,7.426183903627827,5.435783216639386,10.066753685748484
2018-01-01,7.407916617719651,5.562716050858215,9.875445937580084
2018-01-02,7.039368435348515,5.316368331898678,9.323369271087723
2018-01-03,5.014867758087292,3.635057442941065,6.976623991721509
2018-01-04,6.337345581265244,4.607340642106038,8.748682695251386
2018-01-05,6.331455625133989,4.640227798226201,8.644819558567926
2018-01-06,6.067660084855643,4.441561555356064,8.217932024669322
2018-01-07,6.115576592941442,4.492305423442907,8.30911073779082
2018-01-08,6.499205807003833,4.7938047334173834,8.868147578724969
2018-01-09,5.944625601385275,4.27722496206634,7.951271463979466
2018-01-10,4.789801010736704,3.4628600015042146,6.497084918907332
2018-01-11,6.122878960183395,4.517509773085533,8.084429612019894
2018-01-12,6.245579591630211,4.490758160984914,8.33972390874608
2018-01-13,6.122064549856959,4.476207925462495,8.479674560898781
2018-01-14,6.240990107616818,4.595755833532271,8.360671339870727
2018-01-15,6.60083739690616,4.896696815344972,8.96230686073476
2018-01-16,5.967394766095763,4.398915026261498,7.994654155409662
2018-01-17,4.791992903753211,3.4445846889029528,6.667054122886255
2018-01-18,6.212796755694303,4.482924351877013,8.306613996034224
2018-01-19,6.505596501409401,4.775980204167185,8.766435567156895
2018-01-20,6.531903876097315,4.786568471818194,8.679619446424658
2018-01-21,6.72521401312207,4.911822408494573,9.06455447772713
2018-01-22,7.082655927142485,5.236420918552529,9.646753272316925
2018-01-23,6.3473083064958775,4.634325752969337,8.6704968990541
2018-01-24,5.058281727514974,3.694717024484407,6.907504027642881
2018-01-25,6.473119064751337,4.743884122861548,8.709269921829398
2018-01-26,6.656260704798375,4.790776999590003,8.872331938771987
2018-01-27,6.524482070061827,4.8652706465195354,8.810783248928225
2018-01-28,6.5958365265425725,4.832195804886204,8.977286721691502
2018-01-29,6.965252144291826,5.102442712588768,9.287940211327244
2018-01-30,6.420631426005269,4.727669529765425,8.661357182546233
2018-01-31,5.339907491857889,3.9285794945201693,7.407964083004
2018-02-01,6.7399603083294375,5.04634873078582,9.01145347607699
2018-02-02,6.9321598123084955,4.986091940291462,9.487619426313083
2018-02-03,6.605284296963704,4.764594902534163,8.971300697421373
2018-02-04,6.411636966807954,4.63648757391045,8.51913649454146
2018-02-05,6.54701727185206,4.797286479047265,8.77393571444063
2018-02-06,5.911768690776143,4.3152329203591515,7.931668328015857
2018-02-07,4.8483833582816604,3.3910961953495056,6.669102016928859
2018-02-08,6.330552931453647,4.728005470601944,8.459426988390723
2018-02-09,6.431991122709562,4.724160919742432,8.64282304167506
2018-02-10,6.084837307360944,4.362537097729742,8.102470519594696
2018-02-11,5.9362235885301695,4.481993884413515,8.065299326171782
2018-02-12,6.146783667742454,4.531210100742235,8.25215178158934
2018-02-13,5.600648406343009,4.158873820326718,7.4800878412204455
2018-02-14,4.56492631243824,3.2666516687950367,6.371266441977686
2018-02-15,5.880298008794528,4.3656758114511725,8.021833105475263
2018-02-16,5.893851714159658,4.234549551591147,7.753919205372342
2018-02-17,5.586714056524152,4.161651914219565,7.508680083732456
2018-02-18,5.56682349824343,4.043367610797402,7.470416215256677
2018-02-19,5.9336407245311396,4.343521517037731,8.081500592229832
2018-02-20,5.5211531853243505,4.015348898119278,7.576470670630068
2018-02-21,4.533914106721301,3.2377160263502707,6.2552758336030925
2018-02-22,5.83618735004457,4.248616129586496,7.750039106554673
2018-02-23,5.842369734121031,4.257353464155082,7.912499480659177
2018-02-24,5.541377062280471,4.051447581069105,7.502494362430373
2018-02-25,5.508274852100131,3.9686229666115813,7.590056813090907
2018-02-26,5.81811884999979,4.199058273010822,7.923084950973772
2018-02-27,5.360278627857822,3.88163834213862,7.262085598521953
2018-02-28,4.421061160947991,3.171168247638607,6.059390543455029
2018-03-01,6.368807952132861,4.5942665437006225,8.492638060428
2018-03-02,6.718081645162822,4.835127717456283,9.057644189730652
2018-03-03,6.7274904037232295,4.899086857812699,9.06083875818639
2018-03-04,6.8963502295073775,4.996732147804373,9.225320401346153
2018-03-05,7.2610501311803155,5.3755369798419625,9.59594371557159
2018-03-06,6.545309033403613,4.846921875147876,8.750477884637583
2018-03-07,5.2796144151407844,3.764529069370898,7.118380873350962
2018-03-08,6.854028023557101,5.0300717744800245,9.319229283591877
2018-03-09,7.185777704446836,5.314025206953624,9.623780552825878
2018-03-10,7.169830517680024,5.113272399601472,9.669091298353232
2018-03-11,7.294273285992957,5.414039177258516,9.773216459014304
2018-03-12,7.618814975542572,5.569012658721908,10.23430068289868
2018-03-13,6.870998591256793,5.1227476553145035,9.213252090466558
2018-03-14,5.604115637419035,4.108546451140963,7.595369510543844
2018-03-15,7.332769494174196,5.450767151844527,9.796270413225526
2018-03-16,7.671655613203242,5.664697254372932,10.101447110322527
2018-03-17,7.5200502333354695,5.537569898448899,9.997944710094512
2018-03-18,7.462105739781829,5.494139797629106,10.035832187811323
2018-03-19,7.667215956596955,5.702892122840258,10.25717688404085
2018-03-20,6.924152548017392,5.050087959991891,9.1671358562352
2018-03-21,5.7320277268224435,4.115218520741575,7.696698708161873
2018-03-22,7.592100364764636,5.589674365872753,10.303122638976795
2018-03-23,7.948795575081289,5.828945123708042,10.534489119454975
2018-03-24,7.706747198132103,5.812811216948225,10.152016335406095
2018-03-25,7.533553964522581,5.641437294243908,10.132848070076971
2018-03-26,7.6421092914016375,5.615895050526486,10.09551182724206
2018-03-27,6.815901499073493,4.985161388889983,9.1561538498971
2018-03-28,5.540494992510589,4.067190702950749,7.465877684394182
2018-03-29,7.194007036237455,5.312369643109446,9.520324162815346
2018-03-30,7.433425224516989,5.373569324317042,10.164027042611298
2018-03-31,7.270521548417068,5.379803356925355,9.732800507783345
2018-04-01,6.807499789059078,4.910348229309193,9.353183468010808
2018-04-02,7.26182583398862,5.365475956108121,9.628492780102864
2018-04-03,6.739537488881142,4.827953218778779,9.131536053574525
2018-04-04,5.545458814898961,4.153262121480383,7.545980630099911
2018-04-05,7.086686480765926,5.129538780477257,9.513609985973702
2018-04-06,7.1237603730151795,5.252202398597035,9.586662152229223
2018-04-07,6.821163686489014,5.101803805001219,9.112937421757527
2018-04-08,6.860868868540468,5.13796403312828,9.161701420422874
2018-04-09,7.320352299269682,5.346724500707016,9.54688887912139
2018-04-10,6.788582364300319,5.179171374626797,9.182051373497849
2018-04-11,5.567287430331779,4.04217471908624,7.505134949724928
2018-04-12,7.118888512179552,5.50277558814966,9.450216218221936
2018-04-13,7.233211848923962,5.337390948043274,9.705419540763717
2018-04-14,7.045463732886768,5.116468004179601,9.583160806305541
2018-04-15,7.1650535349555815,5.34602293583774,9.68850327247715
2018-04-16,7.60566728859038,5.557881151771411,10.093931574371638
2018-04-17,6.9260066443680515,5.016295334593221,9.215367791320643
2018-04-18,5.57612084628791,4.0276205499323625,7.508609839467813
2018-04-19,7.09835019648174,5.176440030364059,9.41259886763278
2018-04-20,7.298231208017625,5.441077489639108,9.885250142528559
2018-04-21,7.233253961265317,5.491390020594876,10.044454781233156
2018-04-22,7.419855957332845,5.601704847072289,9.836380367764185
2018-04-23,7.8299565094270305,5.822946630550638,10.592205331845005
2018-04-24,7.026454743691758,5.118492610801327,9.54772001953294
2018-04-25,5.567921084939695,4.081349663581814,7.73230302261617
2018-04-26,6.98869901520883,5.305145993494609,9.593415363317828
2018-04-27,7.064585798454677,5.234210889250793,9.503862344873257
2018-04-28,6.840314078047201,4.972115040123491,9.143651976296514
2018-04-29,6.859105676040651,5.158494344193803,9.437877957288826
2018-04-30,7.188073890504755,5.423950735082744,9.690682436115972
2018-05-01,6.5969238918909685,4.9073821625676155,8.787623768606558
2018-05-02,5.450551472070834,3.992532772423938,7.633946763570826
2018-05-03,7.160226556702262,5.167752912102877,9.739100241559292
2018-05-04,7.415891009659947,5.460509531926144,9.789240709628574
2018-05-05,7.141574087225349,5.2175965406546165,9.462152939466481
2018-05-06,6.976056978872984,5.139198466212724,9.561875409787856
2018-05-07,7.113645882497308,5.23357859922469,9.579717814564972
2018-05-08,6.4066657590372555,4.603273917731181,8.71400404972304
2018-05-09,5.278433995515734,3.7986016529987365,7.085644211180519
2018-05-10,6.955025111775408,5.074677505612609,9.331679445813684
2018-05-11,7.200759555269138,5.2916782947490235,9.581643711720794
2018-05-12,6.936942844773683,5.090311281484182,9.350136111885202
2018-05-13,6.837974042403178,5.0778872242565924,9.292446005389312
2018-05-14,7.1094046491382406,5.364625877075072,9.517699717923009
2018-05-15,6.537568301777065,4.853476601260321,8.835883068694347
2018-05-16,5.440340752089443,4.040830970661236,7.588482342772608
2018-05-17,7.108973711031396,5.240068600509844,9.412055780809352
2018-05-18,7.252800491741323,5.3317411330897935,9.71558447776281
2018-05-19,6.940707143020056,5.033039447267142,9.486813658464731
2018-05-20,6.912500020674049,5.0392885315170926,9.361692467263776
2018-05-21,7.34697640902079,5.383025433629088,10.10180628060961
2018-05-22,6.894361568994949,5.081309555980621,9.266738508563435
2018-05-23,5.782797284264704,4.204655204329812,7.646523354635122
2018-05-24,7.486707498342811,5.482953577780714,9.987164106537099
2018-05-25,7.5423380083094855,5.512289479527189,10.20339607315356
2018-05-26,7.134441669794647,5.377448978138533,9.550784775019482
2018-05-27,7.015432268899031,5.147751802546077,9.33240067825639
2018-05-28,7.316152415282759,5.377464694125959,9.746916839297237
2018-05-29,6.700343079818936,5.011915819281778,9.076095467621261
2018-05-30,5.514681947936406,3.9903957662003364,7.511877507268074
2018-05-31,7.180076328871144,5.1945213012552305,9.585183865710775
2018-06-01,7.468905638841437,5.480749940406598,10.052467356148677
2018-06-02,7.380547850603777,5.396269986405665,9.862876835668061
2018-06-03,7.504665182178826,5.578724166986507,10.132201502547545
2018-06-04,7.865911946141552,5.830342329519377,10.538547897028394
2018-06-05,7.049851670574176,5.199492103899686,9.721314229564525
2018-06-06,5.611752696038225,4.198418589033376,7.623877568755443
2018-06-07,7.110381715404166,5.341761894829923,9.596916549702827
2018-06-08,7.294132931758905,5.336124672882984,9.80199816388195
2018-06-09,7.180917783252497,5.286447510520179,9.716579192921074
2018-06-10,7.274033231380373,5.326929214457125,9.595467027912346
2018-06-11,7.58507991510083,5.556024249151144,10.142556071540358
2018-06-12,6.794199506157594,4.902746747613412,9.141593473839036
2018-06-13,5.4639590798814055,3.933324229407093,7.59018550452617
2018-06-14,7.057944115937306,5.212069655401204,9.688211139906173
2018-06-15,7.3386632793456155,5.49755159800936,9.646696061174284
2018-06-16,7.2145318815156,5.219812672468815,9.636037986614411
2018-06-17,7.204947051891119,5.270276451590229,9.59524036776101
2018-06-18,7.413675849262436,5.524237430089043,10.245019507656497
2018-06-19,6.6460048967584155,4.9811481144647125,8.959711176395968
2018-06-20,5.440620792121432,4.018070481246644,7.429932479417817
2018-06-21,7.195635047089952,5.323842127599147,9.754309071157707
2018-06-22,7.592309484543338,5.598367254235417,10.14917549988892
2018-06-23,7.466231717554807,5.649501967477145,10.029936287777705
2018-06-24,7.387127662134991,5.496940561557772,10.017539069799678
2018-06-25,7.5203055226007,5.549671680339342,9.956160595460233
2018-06-26,6.677548935256274,4.950386121292313,9.034688879260257
2018-06-27,5.392026567253503,3.9101808039763544,7.3005706154754675
2018-06-28,6.989826430132751,5.1213236360870695,9.358925196622948
